task_id,client,project_id,client_tier,team,task_type,seniority,task_complexity_score,brief_quality_score,deadline_pressure,scope_change_flag,pricing_model,created_at,delivered_at,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,created_by,updated_at,task_status,workflow_stage,jira_ticket,legacy_ai_flag,content_version
T00041,Client_A,P035,low,Design,report,mid,1,3.0,medium,0,hourly,2025-08-24,2025-08-27,2.0,1,5.25,3.2,0.66,True,3,0,0.9,92.44,296.37,226.24,70.13,user_110,2025-08-25,blocked,briefing,JIRA-53191,true,v1
T00042,Client_B,P009,high,Design,report,junior,2,3.0,high,0,hourly,2025-08-17,2025-08-19,7.0,0,13.05,10.57,0.5,True,4,2,2.24,49.78,869.59,659.3,210.29000000000008,user_039,2025-08-19,archived,briefing,JIRA-67759,false,v2
T00043,Client_H,P014,mid,Media,release,junior,2,3.0,high,0,hourly,2026-01-11,2026-01-17,5.0,1,10.02,5.99,0.38,True,1,2,2.44,67.55,743.37,365.07,378.3,user_076,2026-01-13,archived,briefing,JIRA-68581,false,v4
T00044,Client_H,P018,high,Design,ad_task,senior,2,3.0,medium,1,fixed,2026-01-07,2026-01-12,7.0,0,7.08,5.67,0.03,False,8,1,4.06,75.13,902.57,414.02,488.55000000000007,user_083,2026-01-14,review,finalized,,true,v1
T00045,Client_C,P047,high,SEO,dev_task,mid,3,3.0,high,1,hourly,2026-01-23,2026-01-30,3.0,1,21.54,17.27,0.59,True,1,2,3.21,65.76,1670.62,979.65,690.9699999999999,user_045,2026-01-30,in_progress,execution,,true,v2
T00046,Client_E,P043,mid,Design,dev,mid,2,,low,0,hourly,2026-01-24,2026-01-26,5.0,0,15.4,9.41,0.52,True,3,0,0.0,74.66,897.05,1032.87,-135.81999999999994,user_047,2026-02-02,in_progress,finalized,JIRA-38743,false,v1
T00047,Client_E,P030,high,Design,design,mid,3,2.0,low,0,value_based,2025-10-17,2025-10-23,5.0,1,15.83,15.83,0.09,False,3,1,,77.98,872.23,1198.71,-326.48,user_004,2025-10-25,in_progress,briefing,JIRA-20925,false,v3
T00048,Client_B,P063,low,Design,report,mid,1,3.0,high,0,value_based,2026-01-30,2026-02-04,5.0,0,6.36,5.55,0.68,True,5,1,2.95,75.9,747.7,498.88,248.82000000000005,user_103,2026-02-06,blocked,finalized,JIRA-43663,true,final
T00049,Client_E,P021,mid,Design,release,mid,1,4.0,low,0,hourly,2026-04-29,2026-05-03,7.0,0,18.79,10.0,0.08,False,2,0,0.66,76.44,1197.0,1073.25,123.75,user_064,2026-04-30,blocked,finalized,JIRA-38643,false,v4
T00050,Client_H,P001,mid,Media,design,senior,2,4.0,medium,0,fixed,2025-10-18,2025-10-24,2.0,1,7.41,5.05,0.02,False,2,2,2.4,64.79,777.36,665.08,112.27999999999996,user_036,2025-10-25,in_progress,briefing,,false,final
T00051,Client_C,P026,mid,Design,release,mid,3,2.0,low,0,hourly,2026-01-21,2026-01-28,3.0,1,23.81,13.54,0.24,True,3,3,3.37,51.29,516.77,1757.82,-1241.05,user_110,2026-01-24,archived,execution,JIRA-70475,true,v2
T00052,Client_B,P009,low,SEO,report,mid,3,4.0,low,0,hourly,2026-01-23,2026-01-31,3.0,1,9.82,7.52,0.17,False,4,0,1.5,78.51,567.19,771.64,-204.44999999999996,user_046,2026-01-24,archived,qa,JIRA-27475,true,v2
T00053,Client_C,P001,mid,Content,report,mid,2,2.0,medium,0,hourly,2026-01-30,2026-02-05,7.0,0,9.09,7.54,0.06,False,3,2,1.79,64.12,898.07,454.0,444.0700000000001,user_014,2026-01-30,delivered,qa,JIRA-69351,unknown,v1
T00054,Client_G,P020,high,SEO,relese,mid,2,1.0,low,0,fixed,2026-03-25,2026-04-01,3.0,1,15.24,6.95,0.13,False,4,3,3.83,60.69,1395.74,1020.57,375.17,user_072,2026-03-27,review,briefing,JIRA-41128,true,v3
T00055,Client_F,P057,low,SEO,report,junior,3,3.0,medium,0,fixed,2026-03-02,2026-03-04,7.0,0,7.34,,0.61,True,3,1,0.79,80.89,1024.79,292.57,732.22,user_068,2026-03-09,in_progress,qa,JIRA-92545,true,v4
T00056,Client_M,P037,high,Media,article,junior,3,4.0,medium,0,fixed,2025-07-17,2025-07-20,5.0,0,9.64,7.23,0.24,True,1,0,1.58,83.07,1384.4,621.4,763.0000000000001,user_004,2025-07-23,delivered,qa,JIRA-24078,true,v3
T00057,Client_B,P049,low,Media,release,junior,1,3.0,low,0,fixed,2025-11-24,2025-11-28,5.0,0,19.54,13.05,0.53,True,2,1,1.12,,573.23,852.8,-279.56999999999994,user_097,2025-11-26,delivered,execution,JIRA-62438,unknown,v2
T00058,Client_H,P036,low,Media,ticket,mid,3,5.0,medium,0,hourly,2025-09-07,2025-09-09,3.0,0,8.32,6.52,0.26,True,0,0,2.44,80.12,824.92,498.59,326.33,user_094,2025-09-13,in_progress,execution,JIRA-36863,false,v2
T00059,Client_D,P026,mid,SEO,design,mid,5,3.0,medium,0,fixed,2025-08-29,2025-09-04,2.0,1,16.9,8.45,0.44,True,3,3,1.22,55.95,5524.23,743.5,4780.73,user_082,2025-08-30,archived,client_review,JIRA-68585,true,v1
T00060,Client_S,P060,high,media,design,senior,5,3.0,medium,0,hourly,2025-07-08,2025-07-12,5.0,0,20.15,16.35,0.39,True,7,2,1.17,65.34,1889.16,1846.64,42.51999999999998,user_002,2025-07-12,delivered,qa,JIRA-95395,false,v2
T00061,Client_F,P049,low,Content,dev,junior,2,3.0,medium,0,hourly,2025-12-07,2025-12-14,2.0,1,6.5,3.61,0.36,True,1,0,1.25,83.12,448.73,217.59,231.14,user_058,2025-12-13,draft,execution,JIRA-21920,true,v2
T00062,Client_H,P003,mid,Design,ticket,junior,3,4.0,low,0,hourly,2026-04-13,2026-04-18,3.0,1,10.47,5.6,0.19,True,2,1,1.82,69.31,506.4,440.01,66.38999999999999,user_072,2026-04-18,in_progress,client_review,JIRA-99918,true,v1
T00063,Client_C,P025,low,SEO,ad,senior,2,2.0,medium,0,fixed,2025-12-09,2025-12-13,5.0,0,13.38,9.49,,True,5,3,1.39,56.97,515.0,570.32,-55.32000000000005,user_047,2025-12-17,delivered,finalized,,true,final
T00064,Client_D,P060,high,Media,dev,junior,4,1.0,low,1,fixed,2025-11-28,2025-12-01,2.0,1,13.19,12.96,0.27,True,1,4,4.85,39.98,2800.98,2661.382033855284,139.59796614471588,user_095,2025-12-04,review,client_review,JIRA-32834,true,v3
T00065,Client_H,P058,high,SEO,dev,mid,1,4.0,high,0,hourly,2026-05-10,2026-05-16,5.0,1,17.46,5.48,0.29,True,3,0,2.86,77.04,675.44,1154.93,-479.49,user_037,2026-05-19,delivered,qa,JIRA-29459,false,v1
T00066,Client_D,P028,mid,Media,report,junior,2,3.0,medium,0,value_based,2026-04-24,2026-04-28,7.0,0,16.51,6.75,0.75,True,4,0,1.32,61.4,1281.2,674.54,606.6600000000001,user_031,2026-04-27,review,qa,JIRA-28893,true,v3
T00067,Client_B,P018,mid,SEO,ad,senior,2,4.0,medium,0,fixed,2025-11-20,2025-11-26,3.0,1,5.11,5.07,0.25,True,1,1,1.24,81.59,592.08,412.94,179.14000000000004,user_016,2025-11-20,in_progress,finalized,JIRA-99220,true,v2
T00068,Client_G,P033,mid,Design,dev,senior,2,4.0,high,0,hourly,2026-03-16,2026-03-22,5.0,1,9.33,7.42,0.36,True,1,1,1.88,70.01,646.11,841.71,-195.6,user_107,2026-03-16,draft,briefing,JIRA-74046,true,v4
T00069,Client_A,P050,mid,Media,ticket,mid,5,1.0,medium,0,fixed,2026-02-16,2026-02-20,5.0,0,13.17,9.95,0.52,True,1,1,2.47,67.82,1396.0,333.37,1062.63,user_016,2026-02-20,review,execution,JIRA-96433,true,v1
T00070,Client_H,P027,mid,Media,report,senior,2,5.0,high,0,fixed,2025-07-27,2025-07-31,3.0,1,7.14,4.67,0.47,True,1,0,1.51,87.64,840.04,600.86,239.17999999999995,user_051,2025-08-04,delivered,briefing,,false,v2
T00071,Client_E,P058,mid,Content,ad,mid,5,2.0,medium,1,fixed,2025-12-28,2026-01-01,3.0,1,8.5,5.39,0.34,True,3,2,5.36,54.54,1122.23,699.04,423.19000000000005,user_045,2026-01-04,in_progress,execution,JIRA-80587,false,v1
T00072,Client_D,P050,high,Content,release,junior,2,4.0,low,0,fixed,2026-04-23,2026-04-27,2.0,1,14.17,8.92,0.35,True,2,3,0.85,59.33,1477.9,577.64,900.2600000000001,user_087,2026-05-02,review,execution,JIRA-56405,true,v2
T00073,Client_F,P038,mid,Media,release,mid,4,1.0,high,0,hourly,2026-01-05,2026-01-09,2.0,1,27.13,18.93,0.59,True,3,1,4.58,58.65,2336.16,1292.42,1043.7399999999998,user_034,2026-01-06,review,briefing,JIRA-44752,false,v2
T00074,Client_F,P030,mid,SEO,dev,mid,2,1.0,low,0,hourly,2026-04-27,2026-05-02,7.0,0,19.12,10.98,0.21,True,3,1,4.65,61.06,954.85,1312.91,-358.06000000000006,user_012,2026-05-05,in_progress,execution,JIRA-21038,true,v3
T00075,Client_A,P020,mid,Design,article,junior,4,2.0,medium,0,hourly,2026-01-17,2026-01-24,2.0,1,12.33,9.58,0.35,True,2,2,1.95,64.15,1270.46,535.55,734.9100000000001,user_005,2026-01-25,review,client_review,JIRA-91362,true,v2
T00076,Client_F,P049,mid,Media,dev,senior,2,,high,0,hourly,2026-04-23,2026-04-26,5.0,0,8.12,5.96,0.33,True,1,2,1.93,71.09,714.08,438.34,275.74000000000007,user_104,2026-05-01,delivered,client_review,JIRA-63179,true,v3
T00077,Client_E,P017,mid,Media,ad,mid,4,4.0,medium,0,fixed,2025-12-27,2026-01-01,3.0,1,7.68,5.38,0.41,True,3,0,0.99,78.76,1033.26,592.23,441.03,user_064,2025-12-29,delivered,client_review,JIRA-41793,false,v2
T00078,Client_E,P026,high,Content,ad,junior,2,4.0,medium,0,hourly,2025-12-04,2025-12-10,3.0,1,9.06,6.84,0.35,True,0,2,0.63,68.16,629.56,306.03,323.53,user_053,2025-12-09,review,execution,,true,v3
T00079,Client_U,P035,low,Design,design,mid,2,5.0,low,0,hourly,2026-02-01,2026-02-03,10.0,0,14.77,11.01,0.22,True,0,0,1.23,73.33,1297.71,913.96,383.75,user_099,2026-02-04,in_progress,client_review,JIRA-28113,false,v2
T00080,Client_G,P014,low,Design,article,senior,4,3.0,low,0,hourly,2025-09-06,2025-09-12,5.0,1,5.5,3.44,0.43,True,3,1,1.03,83.26,452.37,432.72,19.649999999999977,user_080,2025-09-08,in_progress,execution,JIRA-98341,false,v4
T00081,Client_A,P013,high,Content,ad,senior,4,5.0,medium,1,fixed,2025-12-10,2025-12-16,5.0,1,8.74,5.33,0.41,True,3,0,3.37,86.41,1553.94,696.5,857.44,user_065,2025-12-13,in_progress,briefing,JIRA-93385,true,final
T00082,Client_E,P027,mid,SEO,ticket,junior,3,2.0,medium,1,hourly,2025-12-03,2025-12-08,3.0,1,10.7,8.88,0.48,True,2,0,,68.17,691.72,420.51,271.21000000000004,user_022,2025-12-11,in_progress,finalized,JIRA-24665,false,v3
T00083,Client_D,P063,low,SEO,ticket,junior,4,5.0,medium,0,hourly,2026-05-16,2026-05-20,5.0,0,10.49,4.01,0.27,True,2,1,0.85,66.4,439.64,380.5,59.13999999999999,user_007,2026-05-24,in_progress,briefing,JIRA-38625,unknown,v3
T00084,Client_C,P059,high,SEO,article,mid,4,2.0,low,0,value_based,2025-07-31,2025-08-06,2.0,1,17.29,15.0,0.4,True,6,0,1.45,63.65,812.22,1298.55,-486.3299999999999,user_065,2025-08-02,in_progress,client_review,JIRA-21906,false,v2
T00085,Client_D,P033,low,Design,ticket,mid,2,3.0,medium,0,hourly,2025-12-16,2025-12-21,7.0,0,12.36,5.46,0.22,True,2,2,1.07,61.67,630.38,860.13,-229.75,user_056,2025-12-23,review,client_review,,true,v4
T00086,Client_F,P017,mid,SEO,ticket,mid,4,2.0,medium,0,fixed,2026-04-27,2026-05-05,5.0,1,4.76,2.4,0.09,False,6,0,4.54,77.91,910.83,380.16,530.6700000000001,user_081,2026-04-29,draft,qa,JIRA-93512,false,v3
T00087,Client_C,P035,high,SEO,article,mid,1,3.0,medium,0,fixed,2025-12-21,2025-12-25,7.0,0,12.67,8.09,0.13,False,1,0,1.03,81.04,328.42,690.72,-362.3,user_119,2025-12-23,delivered,finalized,JIRA-16551,unknown,v3
T00088,Client_C,P046,mid,Content,ticket,mid,3,4.0,high,0,hourly,2026-03-30,2026-04-05,3.0,1,4.63,3.12,0.71,True,2,3,2.51,72.48,310.11,355.18,-45.06999999999999,user_048,2026-03-31,in_progress,execution,JIRA-67423,true,v1
T00089,Client_B,P052,mid,Media,ticket,mid,4,4.0,low,1,fixed,2025-10-06,2025-10-05,7.0,0,10.99,6.55,0.56,True,4,2,,55.63,1307.51,915.07,392.44,user_065,2025-10-08,delivered,briefing,JIRA-84070,true,v2
T00090,Client_G,P021,mid,Content,article,mid,2,4.0,high,0,hourly,2025-09-30,2025-10-06,7.0,0,7.46,7.46,0.13,False,1,2,1.65,62.85,603.16,329.37,273.79,user_028,2025-10-03,delivered,finalized,JIRA-68195,unknown,v2
T00091,Client_C,P041,low,SEO,report,junior,3,4.0,high,0,hourly,2025-12-09,2025-12-13,7.0,0,17.29,12.5,0.32,True,3,1,0.92,71.91,1268.31,1154.22,114.08999999999992,user_037,2025-12-14,archived,finalized,JIRA-78622,true,v2
T00092,Client_C,P044,high,SEO,report,junior,5,1.0,medium,0,value_based,2025-07-24,2025-07-30,3.0,1,17.89,12.5,0.41,True,4,4,2.64,58.41,2617.42,1117.16,1500.26,user_113,2025-08-02,in_progress,client_review,JIRA-70821,false,v4
T00093,Client_G,P037,low,Content,dev,junior,3,2.0,high,0,fixed,2025-11-30,2025-12-04,2.0,1,9.45,6.1,0.34,True,5,2,3.26,52.78,1243.25,324.43,918.82,user_077,2025-12-03,delivered,briefing,JIRA-18246,true,v1
T00094,Client_A,P044,low,SEO,design,mid,2,5.0,medium,0,fixed,2025-10-03,2025-10-07,5.0,0,24.15,13.24,0.32,True,6,1,2.61,68.17,894.31,1719.44,-825.1300000000001,user_117,2025-10-09,delivered,finalized,JIRA-72159,true,v3
T00095,Client_G,P026,mid,Content,Ad,mid,4,4.0,high,0,fixed,2025-07-25,2025-07-30,7.0,0,7.97,4.33,0.32,True,4,2,1.3,73.44,947.01,544.77,402.24,user_011,2025-07-27,delivered,finalized,JIRA-55184,true,v4
T00096,Client_E,P004,high,Content,report,junior,4,4.0,high,1,hourly,2025-10-19,2025-10-23,7.0,0,8.52,5.77,0.55,True,2,0,3.98,75.88,497.99,582.65,-84.65999999999997,user_052,2025-10-25,in_progress,finalized,JIRA-67078,unknown,final
T00097,Client_B,P053,high,Media,report,senior,2,5.0,medium,0,hourly,2025-08-07,2025-08-14,3.0,1,3.45,1.9,0.11,False,1,1,0.61,100.0,242.38,332.61,-90.23000000000002,user_066,2025-08-12,delivered,qa,JIRA-84703,false,final
T00098,Client_E,P023,mid,Content,report,senior,2,1.0,high,0,value_based,2025-10-31,2025-11-08,3.0,1,24.56,15.46,0.19,True,2,0,0.0,85.29,1066.0,2236.53,-1170.5300000000002,user_025,2025-11-01,delivered,finalized,JIRA-53014,true,v2
T00099,Client_H,P017,mid,Design,release,mid,3,4.0,high,0,hourly,2025-10-12,2025-10-19,7.0,0,263.600179896585,14.02,0.14,False,1,3,2.75,61.46,1531.38,1147.89,383.49,user_034,2025-10-12,in_progress,qa,,true,final
T00100,Client_H,P012,high,Design,report,mid,1,3.0,high,1,hourly,2026-05-04,2026-05-08,7.0,0,6.07,5.17,0.67,True,1,0,5.62,56.51,162.95,578.93,-415.98,user_055,2026-05-09,in_progress,qa,JIRA-44864,true,final
T00101,Client_E,P063,mid,Design,design,mid,5,5.0,medium,0,fixed,2025-12-06,2025-12-11,2.0,1,13.7,8.32,0.51,True,2,2,1.0,66.04,1411.38,846.58,564.8000000000001,user_011,2025-12-14,review,client_review,JIRA-50228,false,v4
T00102,Client_C,P026,mid,Design,report,junior,2,4.0,medium,0,fixed,2025-11-20,2025-11-21,2.0,0,8.53,5.63,0.59,True,6,1,0.86,72.6,884.71,483.87,400.84,user_025,2025-11-22,review,finalized,JIRA-63281,false,v2
T00103,Client_H,P029,mid,Content,ad,mid,1,5.0,medium,0,fixed,2026-01-03,2026-01-10,7.0,0,5.08,2.78,0.52,True,0,0,1.67,87.94,538.72,207.94,330.78000000000003,user_095,2026-01-11,blocked,briefing,JIRA-92025,false,v2
T00104,Client_E,P013,high,Media,design,mid,2,3.0,medium,0,fixed,2025-07-06,2025-07-08,2.0,0,11.49,10.88,0.47,True,0,1,1.11,75.18,1003.63,629.02,374.61,user_023,2025-07-07,review,qa,JIRA-75506,false,v1
